country,count,mean,std,min,25%,50%,75%,max
China,23.0,29200.0135652174,10131.285549320099,11800.284,22037.749,31336.537,35963.547000000006,44516.492
Germany,23.0,3836.9926086956516,170.95650655030767,3455.45,3732.1445000000003,3847.151,3975.407,4062.799
India,23.0,6610.987347826087,2073.05757389171,3725.401,4731.642,6587.01,8417.263500000001,10059.478
Japan,23.0,5714.136826086958,491.6994788778878,4825.24,5335.933,5622.332,6175.799999999999,6353.936
United States,23.0,26106.064,632.4710128743236,24630.395,25738.256999999998,25995.914,26562.364999999998,27066.711
